"100-proof (50% A.B.V.) vodka";"Vodka 100-proof"
"Agave nectar";
"Agavero liqueur";
"Algarrobo extract (or malt extract from healthfood shops)";
"Almond flavoured vodka";"Vodka almond flavoured"
"Amer Picon";
"Amontillado sherry";
"Angostura aromatic bitters";"Bitter Angostura aromatic"
"Angostura orange bitters";"Bitter Angostura orange"
"Aperol";
"Apostoles palo cortado sherry";
"Apple flavoured vodka";"Vodka apple flavoured"
"Appletiser";
"Apricot jam (preserve)";
"Armagnac";
"Averna Amaro";
"Bacardi Oro golden rum";"Rum golden"
"Bacardi Superior rum";Rum white"
"Baileys Irish cream liqueur";
"Balsamic vinegar";
"Banana (peeled)";
"Barenjager honey liqueur";"Honey liqueur"
"Barolo wine";
"Barsol Quebranta pisco";"Pisco (Quebranta)"
"Basil leaves";
"Becherovka liqueur";
"Belle de Brillet pear liqueur";"Pear liqueur"
"Bénédictine D.O.M.";
"Benoit Serres crème de violette";"Crème de violette"
"Berentzen Apple schnapps";"Apple schnapps"
"Berry flavoured vodka";"Vodka berry flavoured"
"Berry Hill pimento allspice liqueur";"Pimento allspice liqueur"
"Bitter lemon";
"Black pepper";
"Black strap molasses";
"Blackberries";
"Blackcurrents";
"Blandy's Alvada madeira";"Madeira"
"Blueberries";
"Boiling water";
"Boiron peach pure";"Peach pure"
"Boiron pear pure";"Pear pure"
"Bokma oude genever";"Genever"
"Bols advocaat liqueur";"Advocaat liqueur"
"Bols apricot brandy liqueur";"Apricot brandy liqueur"
"Bols blue curacao liqueur";"Blue curacao liqueur"
"Bombay London dry gin";"London dry gin"
"Bottlegreen Cox's Apple and Plum Cordial";"Apple and Plum Cordial"
"Boulard Grand Solage calvados";"Calvados"
"Brandy, whisk(e)y, gin, rum etc.";
"British cask conditioned ale";
"Brown crème de cacao liqueur";
"Brown sugar";
"Brown sugar syrup";
"Burnt lime juice";
"Campari Bitter";
"Canadian whisky";
"Cantaloupe melon";
"Caper brine (from jar)";
"Cardamom pods";
"Carpano Antica Formula";
"Carpano Punt E Mes";
"Cayenne pepper";
"Celery salt";
"Chablis white wine";
"Chambord";
"Chardonnay white wine";
"Chartreuse Green liqueur";
"Chartreuse Yellow liqueur";
"Cherry tomatoes (chopped)";
"Chilled mineral water";
"Chocolate bitters";"Bitter chocolate"
"Chocolate ice cream";
"Choya Umeshu plum liqueur";"Umeshu plum liqueur"
"Cinnamon stick";
"Cinzano Arancio";
"Claret red wine";
"Clment Creole Shrubb liqueur";"Creole Shrubb liqueur"
"Clove";
"Coca-cola";
"Coco Lpez cream of coconut";"Coconut cream"
"Coconut water";
"Coffee ice cream";
"Cointreau triple sec";"Triple sec (Cointreau)"
"Cold beef bouillon";
"Cold camomile tea";
"Cold earl gray tea";
"Cold English breakfast tea";
"Cold green tea";
"Cold hibiscus tea (strong brewed)";
"Cold jasmine tea";
"Cold Lapsang Souchong tea";
"Condensed milk";
"Coriander (cilantro)";
"Coriander seeds";
"Courvoisier V.S.O.P cognac";"Cognac"
"Cranberry flavoured vodka";"Vodka cranberry flavoured"
"Crème de banane liqueur";
"Crème de cassis liqueur";
"Crème de fraise du bois liqueur";
"Crème de fraise liqueur";
